id|userId|nickName|ratingAll|ratingLocation|ratingFacility|ratingService|ratingRoom|commentLevel|travelType|roomName|language|content|checkinDate|usefulCount|grade
717026991|"_TXXXjthpxs6****"|"Marina"|5|5|5|5|5|Outstanding|"Solo travelers"|"Double Room"|"en"|"Stayed here first time during my winter vacation. Very nice facility and very friendly and helpful staff. Location is super convenient, next to the Qianmen Road. Subway (line 7 and 8) is very close to the hotel. Many restaurants and shops are near by.|"2023-01-25 23:59:00"|0|1
711921535|"_TSUS2i3l3dg****"|"DanieShae97"|5|5|5|5|5|Outstanding|"Solo travelers"|"Superior Double Room"|"en"|"It was in a great location! The room is a good size for 1-2 people. I was here for one night and enjoyed my stayed. The staff was friendly and even translated things for me due to my poor chinese.  I also had breakfast in the morning in the hotel, which was perfectly fine and normal!  I’d recommend this place to someone and I would stay again.|"2023-01-15 23:59:00"|0|2
700955619|"_TSGB5py5nwn****"|"Xavier"|4.5|5|4|5|4|Very Good|"Family"|"2-bedroom Suite"|"en"|"Very good location (in a pedestrian street) Close to the forbidden city Hotel's staff is very kind and helpful.  Breakfast Is OK, not exceptional.|"2022-12-31 23:59:00"|0|2
626614205|"_GG325167****"|"MonetViljoen"|4.5|5|4|4|5|Very Good|"Couples"|"Double Room"|"en"|"The location of the hotel is in a very busy street. Great for walking around and lots of snacks. The hotel staff are very friendly and the breakfast was fantastic. Lots of options and fully stocked for the whole duration of breakfast. The room itself was good. Great bed and good amenities. Only downside of this hotel is, it’s noisy. We could hear our neighbours all the time.|"2022-08-17 23:59:00"|0|2
721379315|"_TSGBebdp78k****"|"GuestUser"|4.7|5|5|4|5|Wonderful|"Friends"|"Guestroom (2 beds)"|"en"|"Very good location as walking distance to some great food places and other tourist sites. Staff were super friendly as well, eventhough there was a language barrier|"2023-01-06 23:59:00"|0|1
612461555|"E3320****"|"Adrian"|4.2|5|4|4|4|Good|"Family"|"Superior Family Room"|"en"|"The Superior Family Room isn't a place to while away the hours. It's functional and fairly basic (although the shower is fantastic) and its aim is to be a place to rest a weary head. Unfortunately, Beijing after the last scuffle with COVID doesn't have enough going on. Everything is hampered and frustrated by passport checks and QR scans. If I return to Beijing I would stay there again, but that is a long shot. |"2022-07-20 12:01:00"|0|1
571429404|"_WeChat396786****"|"GuestUser"|5|5|5|5|5|Outstanding|"Couples"|"Double Room"|"en"|"The staff is great, they helped me with every single question I had, very nice and polite at all times. I'll definitely go back and recommend it to anyone who is planning to go to Beijing.|"2022-01-07 23:59:00"|9|2
573325427|"ima****"|"Imaniac"|5|5|5|5|5|Outstanding|"Couples"|"Double Room"|"en"|"This is a very good choice of hotel if you want to stay in the tiananmen area. It's right outside the metro station, and it looks modern and clean. Besides it's a very good value for money.|"2021-12-24 23:59:00"|9|3
576236124|"_TTUS497166****"|"SarahAshley"|5|5|5|5|5|Outstanding|"Friends"|"Deluxe Room (2 beds)"|"en"|"Really enjoyed this hotel. Super cute room, very comfortable and spacious, and the TV was really nice. The staff was understanding and more than willing to communicate with us via translation app because of our lack of Chinese communication skills. The only drawback was the loud music that plays outside of the hotel from early morning until late night. Also, the air conditioning is turned off during the winter and it got a little hot, but they allowed us to move the air purifier to keep cool. The location was very cool, lots of fun things nearby. Would stay again.|"2021-12-20 23:59:00"|4|1
593773200|"_WeChat488848****"|"Hammadxatti"|5|5|5|5|5|Outstanding|"Friends"|"Double Room"|"en"|"Every thing was really good..Room was clean and specially staff was so kind and generous|"2022-06-04 23:59:00"|11|1
641310961|"M357486****"|"GuestUser"|5|5|5|5|5|Outstanding|"Other"|"Double Room"|"en"|"Clear and cosy room. Quite night sleep and friendly service |"2022-09-10 23:59:00"|0|1
723466867|"M277184****"|"GuestUser"|5|5|5|5|5|Outstanding|"Friends"|"Double Room"|"zh"|The hotel is beautiful, the lobby is spacious, the breakfast is good, and the service is very friendly. The room is clean, fresh and comfortable, and the facilities are very good. A very pleasant stay experience! Recommended|"2023-02-05 00:00:00"|0|1
724058799|"M30843****"|"GuestUser"|5|5|5|5|5|Outstanding|"Family"|"Multi-level Twin Room"|"zh"|Very satisfied, better than expected, first of all, travel is very convenient, the subway is right next to it! Although the room is small and well-equipped, the intelligent facilities are very satisfactory! The point is that the service here is great, everyone greets you with a smile, making you feel like a spring breeze, especially the handsome guy Xiaohao, who is thoughtful and caring❤! Also, I was so happy to eat glutinous rice balls during the Lantern Festival! Full marks for details|"2023-02-02 00:00:00"|0|1
722113263|"M372413****"|"GuestUser"|5|5|5|5|5|Outstanding|"Family"|"Superior Double Room"|"zh"|very good Facilities: very good facilities Hygiene: very clean Environment: very quiet Service: very enthusiastic It's very convenient to come to this hotel next time|"2023-01-31 00:00:00"|0|1
719985903|"M342312****"|"guoguo"|5|5|5|5|5|Outstanding|"Friends"|"Multi-level Twin Room"|"zh"|The service is warm and thoughtful. The location of the hotel is very good. The room was clean. come next time|"2023-01-31 00:00:00"|0|1
720061155|"M38847****"|"GuestUser"|5|5|5|5|5|Outstanding|"Friends"|"Family Room"|"zh"|The hotel environment is very good, and the attitude of the hotel staff is also good. I am very satisfied with the accommodation experience, and the location of the hotel is only about 12 minutes' walk from Tiananmen Square, which is very nice.|"2023-01-31 00:00:00"|1|1
719616243|"M270019****"|"GuestUser"|5|5|5|5|5|Outstanding|"Family"|"Superior Double Room"|"zh"|The hotel is very close to the subway station, especially if you bring the elderly and children out to play, it is very convenient to travel, the location is excellent, the reception staff are also very friendly, the service is very good, the environment is clean and comfortable, it is a good choice|"2023-01-29 00:00:00"|0|1
718596805|"M361453****"|"GuestUser"|5|5|5|5|5|Outstanding|"Family"|"Double Room"|"zh"|The location of the hotel is very good. The breakfast is very good Facilities: complete facilities, comfortable showers and toilets Hygiene: Very clean, room has a fragrance Environment: the environment is very good Service: very enthusiastic|"2023-01-25 00:00:00"|0|1
715605155|"M47248****"|"GuestUser"|5|5|5|5|5|Outstanding|"Family"|"Deluxe Room (2 beds)"|"zh"|This is the second time I have stayed in this hotel. The last time was in November 2021. I took my parents to visit Beijing. This time is a family trip in early 2023 for the Spring Festival! The hotel is clean, quiet, beautiful, the service staff is friendly, and the location is quite good! Going out is Qianmen Street, three minutes away from Zhushikou subway station, so it is convenient to go anywhere! Rosen is within ten meters on the left and Ruixing is ten meters on the right, which won my heart! Hahaha! Come again next time! !|"2023-01-21 00:00:00"|0|2
