id|userId|nickName|ratingAll|ratingLocation|ratingFacility|ratingService|ratingRoom|commentLevel|travelType|roomName|language|content|checkinDate|usefulCount|grade
720247137|"E47065****"|"ChandrajiTharanga"|4.7|5|4|5|5|Wonderful|"Couples"|"Double Room"|"en"|""I recently stayed at the hotel in Beijing for two nights and I must say it was a fantastic experience! The location of the hotel was unbeatable, it was in the heart of the city and just a stone's throw away from the bustling Sanlitun shopping district and the convenient subway stations. The hotel itself was impeccably clean and had a cozy atmosphere that made me feel right at home. Although the rooms were small, they were very comfortable and the price was extremely reasonable. The staff were a highlight of my stay, they were extremely helpful and professional, making sure that all of my needs were met. During our stay, it was the Spring Festival, and the hotel went above and beyond by providing us with a delicious boxed breakfast that exceeded my expectations. The bathrooms were spotless and well equipped, including a smart toilet which added an extra level of luxury. The only improvement I would recommend is having some kind of closet or storage space for hanging jackets and clothes. Overall, I highly recommend this hotel to anyone looking for a great stay in Beijing."|"2023-01-21 23:59:00"|0|1
684699339|"_WeChat255966****"|"Lianza"|5|5|5|5|5|Outstanding|"Solo travelers"|"Double Room A"|"en"|"Clean rooms, newly build, extremely helpful staff at the front desk, friendly towards foreigners.   Location is great for visiting the embassy with nice shops nearby.|"2022-12-18 23:59:00"|1|1
716448181|"E49429****"|"DelvaEvadney"|4.5|5|3|5|5|Very Good|"Solo travelers"|"Business Double Room"|"en"|"Great location Friendly staff Food is not that great.  I think it’s too expensive. I guest we pay for the location.|"2022-12-23 23:59:00"|0|3
678552309|"E251646****"|"Zarema"|5|5|5|5|5|Outstanding|"Couples"|"Double Room"|"en"|"We stayed in this hotel 2 days. The location is good. The room is small but clean, cozy and quite. No smoking smell. The service stuff is nice and helpful. The breakfast is Chinese. We liked this hotel, enjoyed our stay here.|"2022-12-13 23:59:00"|0|1
648889429|"D11153****"|"GuestUser"|4.2|4|4|4|5|Good|"Solo travelers"|"Double Room"|"en"|"good good|"2022-10-12 00:00:00"|0|2
582330886|"_WeChat277711****"|"Gi"|4.5|4|4|5|5|Very Good|"Couples"|"Double Room"|"en"|"Overall, the place is amazing in terms of location. It’s somehow hidden from the Main Street. Derive and cleanliness are top notch and I wasn’t surprised as I have used this place before and I didn’t expect anything less. I would recommend this place to anyone on any given day.   I didn’t enjoy much of the breakfast but my partner did! |"2022-03-08 23:59:00"|0|1
625206265|"_WeChat256063****"|"GuestUser"|5|5|5|5|5|Outstanding|"Solo travelers"|"Double Room A"|"en"|"Staff were very helpful in all the needs and everything was perfect. Great location and beautiful.|"2022-08-14 23:59:00"|0|1
720165773|"_WeChat272186****"|"DivianaPinto"|4.5|5|4|5|4|Very Good|"Friends"|"Double Room A"|"en"|"Location very convenient, good hotel to stay ❤️|"2023-01-30 23:59:00"|0|2
712602909|"_WeChat353266****"|"GuestUser"|5|5|5|5|5|Outstanding|"Couples"|"Superior Double Room"|"en"|"Good experience. Clean,neat good location|"2023-01-14 23:59:00"|0|2
577601528|"_TSXX3zy55ur****"|""|5|5|5|5|5|Outstanding|"Business travelers"|"Double Room"|"en"|"It was really a good experience|"2022-02-28 23:59:00"|0|1
