id|userId|nickName|ratingAll|ratingLocation|ratingFacility|ratingService|ratingRoom|commentLevel|travelType|roomName|language|content|checkinDate|usefulCount|grade
635071729|"D59076****"|"Marieso"|5|5|5|5|5|Outstanding|"Couples"|"Double Room"|"en"|"Really good hotel , in the center surrounded by the hutong.  The room is clean and the place is quiet.|"2022-09-09 23:59:00"|0|2
694861121|"_FB440839****"|"AnonymousUser"|5|5|5|5|5|Outstanding|"Couples"|"Double Room"|"en"|"A lovely functional room with a comfortable mattress and a nice shower. Nice, warm heat in the winter. Friendly staff and good location. Would stay again.|"2022-12-24 23:59:00"|0|3
503311646|"E287488****"|"LaowaiBeijinger"|4|5|3|4|4|Good|"Solo travelers"|"Double Room"|"en"|"Perfect tiny room for one on the first floor. A little trouble at check in even though I live in Beijing. Convenient location. Great blackout curtains. Glass walls on the room with the toilet, so you better feel very comfortable with whomever you are sharing a room!  |"2021-06-12 14:01:00"|0|2
561429451|"E61019****"|"GuestUser"|5|5|5|5|5|Outstanding|"Couples"|"Double Room"|"en"|"A really well designed city hotel with everything you need for a good trip away (and excellent location near the Hutongs and lake)|"2021-11-12 23:59:00"|0|2
494174019|"_WeChat315395****"|"DidsonNewPereira"|4.7|5|4|5|5|Wonderful|"Solo travelers"|"Advanced large bed room"|"en"|"Superb location, I the heart of the old town, yet with a very modern feel inside. Good breakfast options, and optimal room space. Good cost/benefit ratio|"2021-04-14 23:59:00"|0|1
505659655|"E15987****"|"Shaan"|5|5|5|5|5|Outstanding|"Business travelers"|"Double Room"|"en"|"it was nice clean room , all things look new, I like the function curtain opening when enter in room , no need to put card for electricity of room. bed was comfortable .|"2021-06-21 23:59:00"|0|3
652442165|"_TXUSfejm4i6****"|"Gstargeorge"|5|5|5|5|5|Outstanding|"Solo travelers"|"Double Room"|"en"|"Wonderful hotel|"2022-10-18 23:59:00"|0|1
498858787|"_WeChat257766****"|"Kelkoo"|5|5|5|5|5|Outstanding|"Couples"|"Advanced large bed room"|"en"|"Nice location, close to the subway station as well as the Nanluo hutongs. |"2021-05-05 23:59:00"|0|2
476502812|"D389923****"|"OohLaowai"|4.5|5|4|5|4|Very Good|"Couples"|"Panoramic Double Room"|"en"|"Lovely hotel with some modern features. The room was clean. The glass shower and toilet with mirror opposite meant that you could see each other going to the toilet so you had to actively look away. There is a curtain but it offers very little privacy. Ok for couples maybe but family type trips may be awkward. The room is very warm, bed very large and comfortable, water and soda is provided, but no tea or coffee in the room.   Overall a good hotel near the hutongs, kind staff, modern with a delivery robot, in a good location for sightseeing.  Just be mindful of the bathroom situation when booking.|"2020-12-30 23:59:00"|0|2
718798455|"E4947****"|"GuestUser"|4.2|4|4|4|5|Good|"Family"|"Panoramic Double Room"|"zh"|I just took a picture of the exterior, which was a big surprise. The interior rooms are relatively small and refined. The gate is not along the street. Usually, you will see the lotus pond first and then walk in. It is also a detour|"2023-01-29 00:00:00"|0|1
715695089|"150301****"|"Zuobian1980"|5|5|5|5|5|Outstanding|"Family"|"Superior Memory Foam Double Room"|"zh"|It was a very pleasant stay for three nights. The hotel is next to the subway exit of Nanluoguxiang. It is very convenient to go out and take the subway and bus to almost all coverage.  The hotel has complete facilities and a hygienic environment. The brothers and sisters at the front desk are very nice. If you are hungry at night, there is a caring supper - my favorite little wonton, which tastes good.|"2023-01-23 00:00:00"|0|2
706687369|"M53976****"|"GuestUser"|5|5|5|5|5|Outstanding|"Friends"|"Advanced large bed room"|"zh"|The location of the hotel is excellent, next to the subway entrance, don't look at the street, but the room is not noisy, and the sound insulation is good. Next to Nanluoguxiang, the location is very good. The hotel is also very new, I like the decoration style very much, the facilities are also very complete, electric curtains, I really recommend it! The breakfast is delivered to the room, there is a lot of it, and it is nutritious. Especially the service of the hotel is great, the lady at the front desk is very nice.|"2023-01-09 00:00:00"|0|2
723236773|"M59061****"|"GuestUser"|5|5|5|5|5|Outstanding|"Family"|"Advanced large bed room"|"zh"|The location of the hotel is very good, and the decoration is very fashionable. Although the room is not big, the details are well done. The bathroom brand is also very good. Breakfast and supper can be eaten until late, especially suitable for young people. highly recommended.|"2023-01-05 00:00:00"|0|2
708841165|"_WeChat35975****"|"GuestUser"|5|5|5|5|5|Outstanding|"Friends"|"Advanced large bed room"|"zh"|The location is tens of meters away from Nanluoguxiang. The bed is very comfortable, overall clean and hygienic, and the service is also great~ Breakfast is delivered to the room, you can store your luggage for free, and there is unlimited water supply. The check-in experience is very good~|"2023-01-04 00:00:00"|0|2
658809045|"M56316****"|"GuestUser"|5|5|5|5|5|Outstanding|"Other"|"Double Room"|"zh"|The waiters are warm and courteous, the hotel feels very warm, the bedding is clean and tidy, and there is a robot to deliver breakfast, a set of rich nutrition in the morning, yogurt, fruit, staple food, vegetables, and porridge. After eating the small building, drink an Americano. You can also sit in the small courtyard, bask in the sun, and enjoy a pleasant afternoon.|"2022-11-13 00:00:00"|0|2
655852627|"M250263****"|"GuestUser"|5|5|5|5|5|Outstanding|"Booked for others"|"Double Room"|"zh"|Service is very very very good! I booked a room for my parents with a lot of luggage. When I left the hotel, the hotel staff also helped to carry the luggage to the car. Thank you very much. The breakfast was also very delicious and it was delivered to the room!|"2022-11-04 00:00:00"|0|2
654581805|"M320252****"|"GuestUser"|5|5|5|5|5|Outstanding|"Couples"|"Double Room"|"zh"|As soon as we arrived at the door, a big brother helped us with our luggage enthusiastically. After arriving at the front desk, he took the initiative to bring us a bottle of hot mineral water. He was very enthusiastic, the hotel is very intelligent, the lobby is bright and tall, and the front desk business is very skilled. We upgraded the room type for free. After checking in, he helped us with our luggage and sent it to the elevator. It was very convenient and the room was clean and tidy. There is also a touch of aromatherapy, the room network is fast, 24 hours of hot water, very convenient, the breakfast is rich, the check-out is very user-friendly, very satisfied! come back next time! The lady at the front desk has a good service attitude, warm heart, water is provided when you check in, and she is very kind, so loving, cleaning aunt, cleaning, and breakfast is delicious.|"2022-10-31 00:00:00"|0|1
